"brims" barone, midway mobster|the capo of caps, the hitman of hats, the don of donning fashionable headwear.
adarkar unicorn|"there is no nobler creature in all of terisiare." ~general jarkeld, the arctic fox
adarkar valkyrie|she doesn't escort the dead to the afterlife, but instead raises them to fight and die again.
adarkar wastes|left barren by the brothers' war, it stands as a stark reminder of dominaria's likely fate should the coalition fail.
adarkar windform|terisiare has only two kinds of weather: cold and weird.
addle|"i'll wring out your tiny mind like a sponge." ~urborg witch
adeliz, the cinder wind|the passionate intensity of the ghitu tempered by the cool insight of tolarian training.
adherent of hope|"basri has shown me the way forward, and i will follow."
admiral beckett brass|"you and your ship will make a fine addition to my fleet."
admiral's order|"damn the cannons, mates. charge!"
adriana, captain of the guard|"my sword is pledged to the defense of this city, not to the throne or this usurper."
adult gold dragon|gold dragons are the greatest of the metallic dragons in size, power, and wisdom, and often take it upon themselves to safeguard mortal communities from evils that might threaten them.
adun oakenshield|". . . and at his passing, the bodies of the world's great warriors shall rise from their graves and follow him to battle." ~*the anvilonian grimoire*
adun oakenshield|". . . and at his passing, the bodies of the world's great warriors shall rise from their graves and follow him to battle." ~the anvilonian grimoire
advance scout|"the soldier's path is worn smooth by the tread of many feet~all in one direction, none returning." ~oracle *en*-vec
advanced hoverguard|"they are like their vedalken masters: untouchable, aloof, and omnipresent." ~bruenna, neurok leader
advanced stitchwing|"improvement is a consequence of practice." ~stitcher geralf
advantageous proclamation|"the beneficent council deems you worthy of favor. they hope this doesn't provoke envy from your peers."
advent of the wurm|the consciousness of mat'selesnya does not always spread in peaceful ways.
adventure awaits|"good, we're all here. let's get started!"
adventuring gear|an explorer's essentials in a wild world.
adventurous impulse|"her quest began as all quests do, with one small step in an unexpected direction." ~*the explorer's testament*
adventurous impulse|an adventure without a companion is hardly an adventure at all.
adventurous impulse|every odyssey begins with a single step.
advisor|whisper in the right ear, and anything can happen
advocate of the beast|"i am neither their drover nor their leader. to these majestic beasts, i am simply their herdmate and nothing more."
aegis automaton|the streets of ghirapur have become dangerous. it's good to have a dependable companion.
aegis of the gods|athreos cares little for the other gods' conflict with mortals. he is concerned only with safe passage for the dead.
aegis of the heavens|inner strength is never seen until it makes all the difference.
aegis of the meek|"with this marvel, even the weak have a fighting chance!" ~arcum dagsson, soldevi machinist
aegis turtle|"the endurance of the ancient turtles in a land so harsh makes a strong case for patience, tranquility, and composure." ~gavi, nest warden
aeolipile|"although fragile, the aeolipile could be quite destructive." ~*sarpadian empires, vol. i*
aeon engine|"paradox? eh, we'll worry about that yesterday." ~edorin, the timesmith
aerathi berserker|aerathi children who show promise are left to survive for a year in the wilderness. those who return are shown the way of the berserker.
aerial assault|"oh, you must be mistaken. hawks are solitary hunters, you see." ~bunder diedreck, ornithologist
aerial caravan|successful delivery is *not* guaranteed.
aerial engineer|the best of their trade know every bolt of their rigs, stem to stern.
aerial guide|"kefnet taught us to turn obstacles into advantages." ~neponem, vizier of kefnet
aerial maneuver|"when you put all of yourself into an attack, without fear or hesitation, in that instant you may attain greatness." ~predak, gateless freemage
aerial predation|in the towering trees of the samok stand and the predators that guard them, the might of the ravnican wild has returned.
aerial responder|dwarves have an instinct for repair, an inherent understanding of how systems work, and a reputation for fearlessness. they're perfect candidates for the fair's emergency response team.
aerial volley|drakes can swerve to avoid a single arrow, but they can't dodge the whole sky.
aerialephant|everyone wants to talk about the elephant in this room.
aerie mystics|they are cautious with their body language and facial expressions. any stray movement could betray the positions of the troops they protect and cost many lives.
aerie worshippers|they can conjure stars from a clear sky.
aeromoeba|some clouds heed no wind.
aeromunculus|"the absence of binocular vision imposes certain challenges for a flying creature, which are overcome via echolocation." ~simic research notes
aeronaut admiral|the consulate recruits its best pilots from the league of aeronauts. many go on to command entire fleets.
aeronaut tinkerer|"all tinkerers have their heads in the clouds. i don't intend to stop there."
aeronaut tinkerer|magic.wizards.com
aesi, tyrant of gyre strait|"to sail through those waters is to offer oneself as tribute." ~captain hoyrik
aesthir glider|"a fine example of the rewards of artifice: a thoroughly obedient steed with wings of soldevi steel." ~arcum dagsson, soldevi machinist
aesthir glider|"sacrilege! a noble ally in life, made nothing more than a glorified kite in death!" ~arna kennerüd, skycaptain
aesthir glider|an ancient device recovered from a thawing glacier high in the karplusan mountains.
aether adept|"the universe is my instrument, and the song i play upon it is one you are forbidden to hear."
aether adept|some mages do their best work in solitude. others do their best work creating it.
aether barrier|"creatures fade in and out of existence. it's an unfortunate side effect. the losses are tolerable." ~belbe
aether burst|as fleeting as a cephalid's promise.
aether charge|"is it just me, or does that meteor have teeth?"
aether flash|"you can't get there from here. well, you *can*~it just won't be fun." ~ertai, wizard adept
aether flash|"you can't get there from here. well, you can~it just won't be fun." ~ertai, wizard adept
aether flash|as the foul beast appeared, arcane lightning crackled around it.
aether gale|the militia formed up in the central plaza awaiting the onslaught, but the giants never quite made it.
aether gust|the chill wind extinguishes flame, and frosts the leaf on the branch.
aether gust|the cleansing winds swept away all traces of the demon, until not even his legend remained.
aether helix|some quandrix mages prefer to study at twilight, watching their experimental equations trace glowing trails against the encroaching darkness.
aether hub|it powers the dreams of ghirapur.
aether shockwave|"the strain upon the veil between worlds began to show near the end of the kami war. strange happenings that neither side could control lashed out across kamigawa." ~*observations of the kami war*
aether snap|"may you wake to find you were only ever a dream." ~mephidross curse
aether spellbomb|"release that which was never caged." ~spellbomb inscription
aether sting|when gatha fell, he was called to account for each abomination he created.
aether storm|"i do love the rain . . . but this storm feels somehow wrong, taysir." ~daria
aether storm|thunder in the wind / no rain / peace mourns its passing.
aether tide|the tide of magic brought them here. now it would take them home.
aether tradewinds|"the wind smells of misfortune. check your knots." ~anitan, ondu cleric
aether tradewinds|consulate engineers have developed safe methods of harvesting aether, but renegades aren't always so careful.
aether tunnel|if you can't find a doorway, make one.
aetherborn marauder|"i don't know what that is or who it belongs to, but it's shiny and i want it."
aetherflux reservoir|while most power is used for ordinary, everyday tasks, one shouldn't underestimate its potential for the extraordinary.
aethergeode miner|gremlins in the wild feed on nodules of pure aether, which are also prized by miners.
aetherize|"you can come back once you've learned some manners~and figured out how to reconstitute your physical forms."
aetherize|no berzerker charge can stand against the psychic might of the hive mind.
aetherplasm|its fickle form holds hints of a thousand former identities.
aethershield artificer|most smiths shape metal, but some prefer more delicate materials.
aethersnatch|"you were saying?"
aetherspouts|"don't worry, there's plenty for everyone." ~vickon, eleventh company battlemage
aethertide whale|"to survive up here, i've learned when to use my harpoon and when to just enjoy the view." ~kadhu, skywhaler
aetherwind basker|its frill inspired the design of efficient aether collectors.
affa guard hound|once a welcoming hub for explorers, affa became a place of guarded tongues and quick defenses.
affa protector|"through all the terrors we face, i hold on to the memory of the world before the eldrazi came. i'd like to see that world again."
affectionate indrik|the problem isn't the indrik's enthusiasm, it's ravnica's lack of guardrails.
afflict|one rarely notices a heartbeat, save when it is stolen.
afflict|when one of the patriarch's champions displeased him, he would only shake his finger. that was enough.
afflicted deserter|the rising of the first full moon eliminated any doubt as to the horrible truth lurking within.
afterlife|facets of life, reflections of the soul.
aftershock|"every act of destruction has a repercussion." ~karn, silver golem
agadeem's awakening|"now is the death-hour, just before dawn. wake, sleepers, and haunt the living!" ~vivias, witch vessel
agadeem, the undercrypt|"here below the hedron fields, souls and secrets lie entombed." ~vivias, witch vessel
ageless entity|tel-jilad's sworn protectors are the trolls, yet more fearsome protectors were created by the tangle itself.
ageless guardian|ancient ruins dot the world of arcavios, most older than strixhaven itself and many still guarded by soldiers from the blood age, centuries after their deaths.
agent of erebos|erebos's minions hunt the returned and warn those who consider the same folly.
agent of horizons|the light in the woods just before dawn reveals a glimmering network of branches, roots, and spiderwebs. the acolytes of kruphix walk this lattice unseen.
agent of masks|"two-faced" is an understatement.
agent of masks|"you say that i am two-faced? enough with the flattery. we have business to conduct."
agent of shauku|"go ahead. take it. you'll be so very powerful . . . and what harm can it do?"
agent of stromgald|"the 'fabled' order of stromgald is cast to the four winds, lost for all time. i, for one, give them no thought." ~general varchild
agent of stromgald|"the order of stromgald spreads its poisonous lies from within varchild's troops, and still she sees only visions of conquest." ~lovisa coldeyes, balduvian chieftain
agent of the fates|"you are breathing borrowed air."
agent of the iron throne|you give your clients what they want at a fair price. what happens after that is none of your concern.
agent of the shadow thieves|your skill, dexterity, and moral flexibility make you a valuable asset to your guild.
agent of treachery|"the more secrets you have, the more easily you become my pawn."
aggravate|"barbarians! they burned my favorite chair! we'll kill them all!" ~anje falkenrath
aggression|the star that burns twice as bright burns half as long.
aggressive instinct|"mowu was wary that day, as though he sensed the danger ahead." ~jiang yanggu's travelogue
aggressive mammoth|"approach from behind. that way, if it does charge, at least you aren't in front of it." ~vivien reid
aggressive mining|designed by markus persson
aggressive sabotage|squee's orders basically came down to "attack the squishy parts."
aggressive urge|"our lives, our homes, and all our history are at risk. do not speak to me of peace."
aggressive urge|the power of the wild, concentrated in a single charge.
agonizing memories|"an innocent man died because of my anger. that knowledge will haunt me for all eternity." ~karn, silver golem
agonizing memories|"i think little of the foes i've slain. but i'm haunted by the friends i've sent to die." ~the southern paladin
agonizing memories|in the aftermath of war, when the slaying is long done, the greatest miseries come home to roost.
agonizing remorse|"guilt is not absolution. regret is not justice. but it is right that you suffer." ~extus narr
agonizing remorse|the sharp memory of daxos's death stabbed into elspeth's soul.
agonizing syphon|"your death will take a mere moment, but it will feel like an eternity." ~vilis, broker of blood
agony warp|life's circle has become inverted in grixis. the same energy is endlessly recycled and becomes more stagnant with each pass.
agoraphobia|"everyone in this city is choosing sides. i choose inside."
agrus kos, wojek veteran|lieutenant kos has never met a group of recruits he could not inspire or a mob he could not quell.
ahn~crop champion|"the second sun nears its destination! let it light the way to ours!"
ahn~crop crasher|"hesitation breeds dissension. to be worthy of the next life, you must never look back." ~anep, vizier of hazoret
ahn~crop invader|"give me a crew like this one and i'd rule any sea i sailed." ~angrath
aid the fallen|"i never liked you. now get up~we have a fight to finish."
aim for the head|"works every time." ~halana, kessig ranger
aim high|"a slayer gets by on wits and reflexes." ~higa, slayer-captain of gatstaf
ainok artillerist|"in the tarkir i once knew, the abzan revered their ancestor trees. now, as dromoka, they cut their finest groves to make weapons." ~sarkhan vol
ainok bond~kin|"hold the line, for family and the fallen!"
ainok tracker|"the ainok are wild dogs, not fit to join us around the fire." ~surrak, the hunt caller
ainok tracker|some ainok of the mountains are accepted among the temur as trusted hunt-mates.
air bladder|random mutations among rootwater merfolk were common~and disturbing.
air elemental|"the east wind, an interloper in the dominions of westerly weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab." ~joseph conrad, *the mirror of the sea*
air elemental|as insubstantial, and as powerful, as the wind that carries it.
air elemental|as the ship approached, the jade totem rose high overhead. power rippled. eyes of stone glowed and crackled. out hissed a breath of the world, and a windstorm came alive.
air elemental|pray that it doesn't seek the safety of your lungs.
air elemental|these spirits of the air are winsome and wild and cannot be truly contained. only marginally intelligent, they often substitute whimsy for strategy, delighting in mischief and mayhem.
air elemental|these spirits of the air are winsome and wild, and cannot be truly contained. only marginally intelligent, they often substitute whimsy for strategy, delighting in mischief and mayhem.
air elemental|where psycho meets cyclone.
air servant|"wind is forceful, yet ephemeral. it can knock a dragon out of the sky, yet pass through the smallest crack unhindered." ~jestus dreya, *of elements and eternity*
air servant|wind is forceful, yet ephemeral. it can knock a dragon out of the sky, yet pass through the smallest crack unhindered.
airborne aid|"we help our southern order comrades as much as we can. but the cabal's insidious influence spreads, dividing our forces and leaving new arrivals to fend for themselves." ~commander eesha
airdrop aeronauts|"supplies inbound. keep that pressure on."
airdrop condor|it has two kinds of droppings, neither of which is particularly pleasant.
air~cult elemental|elemental evil distorts the natural elements, limiting them to aspects of destruction.
ajani's chosen|"united, our roar will level mountains."
ajani's comrade|"i will go where the lion-man leads."
ajani's mantra|"he hasn't returned to the cloud forest. but i can still sense his calming presence." ~zaliki of naya
ajani's pridemate|"when one of us prospers, the pride prospers." ~jazal goldmane
ajani's pridemate|planeswalkers conjured replicas of old allies, reminders of the homeworlds that would fall next if bolas prevailed.
ajani's sunstriker|"ajani goes where he is needed most and in his name we keep his lands safe."
ajani's welcome|"you cannot defend others if your own well-being is neglected."
akiri, fearless voyager|"no angel bars our ascent. emeria waits above!"
akiri, line~slinger|her bold movements are anchored in the careful precision of each rope.
akki avalanchers|among godo's hordes, "beware of falling rocks" came to mean "akki live nearby."
akki blizzard~herder|"it remains unclear whether the akki shamans could in fact create storms or simply predicted them." ~*the history of kamigawa*
akki coalflinger|no matter where you find them, goblins love rocks.
akki drillmaster|"what part of 'hayaku ikee!' did you not understand?"
akki ember~keeper|"follow my lantern, little ones."
akki raider|akki were very territorial, attacking and destroying any settlements that came too close to their mountain homes. the more successful their raids, the bolder they became.
akki rockspeaker|the lava-proof shells of akki evolved over centuries, as akki pranks almost always got seriously out of hand.
akki ronin|"carry the heat of the furnace in your steel, and never let it fade." ~keni-keni, akki smith
akki underling|"i lost my hounds in the war and thus found myself employing akki as servants. i found their training to be remarkably similar." ~kensuke, houndmaster
akki underminer|"deep inside the sokenzan mountains, a band of akki discovered a cache of ancient items of power. their ensuing spree of destruction became known as 'the three days of fun.'" ~*observations of the kami war*
akki war paint|akki paint bright, bold designs on their salvaged imperial mechs, leaving no doubt as to who they belong to now.
akoum boulderfoot|"if you're in akoum and you glimpse a shadow overhead, the worst thing you can do is duck." ~chadir the navigator
akoum flameseeker|in the face of extinction, the most perilous endeavors can be cause for hope.
akoum hellhound|hellhound packs roam the spikefields, basking in the harsh sunlight and lighting the night with their flames.
akoum teeth|"rock. lava. gravity. they're not cruel, but they're not forgiving either." ~tyrux, expedition warrior
akoum warrior|"i'm not cruel, but i have no patience for your mistakes." ~tyrux, expedition warrior
akrasan squire|bant's armies are primarily composed of members of the mortar caste, loyal commoners who haven't yet earned a sigil.
akroan conscriptor|"the time to serve is now."
akroan crusader|an akroan soldier's worth is measured by the number of swords raised by his battle cry.
akroan hoplite|"fair fight? how could it be a fair fight? we're akroans. they're not."
akroan jailer|he ensures escape attempts are just that~attempts.
akroan line breaker|the enemies' shields are the first to shatter, and their battle line is never far behind.
akroan mastiff|even when many of the soldiers who guarded akros were called away, its safety was never in doubt.
akroan phalanx|shields up, spears out, heels set, hearts firm.
akroan skyguard|"trust me. when you have earned a god's favor, you'll know."
akroma's blessing|the clerics saw her as a divine gift. she saw them only as allies in her war against phage.
akroma's devoted|akroma asked for only one thing from her troops: unwavering, unconditional loyalty.
akroma's memorial|"no rest. no mercy. no matter what." ~memorial inscription
akroma's vengeance|"many must die for the one who should not have perished."
akroma's vengeance|ixidor had only to imagine their ruin and akroma made it so.
akroma, angel of wrath|"no rest. no mercy. no matter what."
akroma, angel of wrath|"wrath is no vice when inflicted upon the deserving."
akroma, angel of wrath|although she wore nivea's kind face, her heart held nothing but vengeance.
aku djinn|"your arrogance amazes me, kaervek. did you not know the price you would pay?" ~mangara
alabaster kirin|the appearance of a kirin signifies the passing or arrival of an important figure. as word of sightings spread, all the khans took it to mean themselves. only the shaman chianul thought of sarkhan vol.
alabaster leech|"its stones seem to serve a healing function, but removing them intact is an exhausting process." ~tolarian research notes
alabaster mage|"we hold sacred the powers of light and life. truth and honor are our greatest weapons." ~alabaster creed
alabaster potion|"healing is a matter of time, but it is sometimes also a matter of opportunity." ~d'avenant proverb
alabaster potion|healing is a matter of time, but it is sometimes also a matter of opportunity. ~d'avenant proverb
alabaster wall|its mortar is mixed with waters straight from the fountain of cho.
alaborn cavalier|"course he ran! *i* wouldn't want to stare down that barrel, either!" ~alaborn soldier
alaborn grenadier|"ever proud, ever vigilant." ~grenadier motto
alaborn musketeer|muskets gave the alaborn army an advantage it had long lacked~air defense.
alaborn trooper|"i dedicate my body to my country and my life to my king." ~alaborn soldier's oath
aladdin's ring|". . . [t]he magician drew a ring off his finger . . . , saying: 'it is a talisman against all evil, so long as you obey me.'" ~*the arabian nights*, junior classics trans.
aladdin's ring|". . . the magician drew a ring off his finger . . . , saying: 'it is a talisman against all evil, so long as you obey me.'" ~*the arabian nights*, junior classics trans.
aladdin's ring|"a good lamp will light your way. a good ring will clear it." ~nervan, royal jeweler
aladdin's ring|"after these words the magician drew a ring off his finger, and put it on one of aladdin's, saying: 'it is a talisman against all evil, so long as you obey me.'" ~*the arabian nights*, junior classics trans.
aladdin's ring|"after these words the magician drew a ring off his finger, and put it on one of aladdin's, saying: 'it is a talisman against all evil, so long as you obey me.'" ~the arabian nights, junior classics trans.
aladdin's ring|some say aladdin's third wish was for this ring.
alarum|"one timely cry of warning can save nine of surprise." ~sidar jabari
alchemist's apprentice|side effects may include foul odors, scalding steam, and spontaneous nonexistence.
alchemist's greeting|"impressive." ~chandra nalaar
alchemist's refuge|persecuted alchemists fled deep into kessig's wilds, seeking solitude to continue their ghoulish craft.
alchemist's retrieval|to most, a terrifying apparition. to a necro-alchemist, a potent fuel source.
alchemist's vial|a weapon best suited for those with good aim and steady hands.
alela, artful provocateur|"rankle's pranks are child's play. my games will topple kingdoms."
alena, kessig trapper|"halana and i have a bond that'll never be broken."
alert heedbonder|considering the zealous armies, vile poachers, and titanic monsters, it's always wise to keep one eye on the horizon.
alert shu infantry|kongming's predecessor helped liu bei win the battle of fancheng by recognizing and defeating cao ren's use of the dreaded "eight gold locks" formation.
alesha's vanguard|boundaries drawn on maps or marked with stone have no meaning for the mardu.
alesha, who smiles at death|"greet death with sword in hand."
alesha, who smiles at death|"our history is one hand reaching out to another."
alexi's cloak|"doesn't look like much, does it?" ~alexi, zephyr mage
alexi, zephyr mage|the keldons didn't know her name, but they still cursed her in battle.
algae gharial|it lurks just under the surface, using the algae-choked tar pits of jund as both home and hunting blind.
alhammarret's archive|it contains the totality of alhammarret's notes, theories, and ponderings.
ali baba|"when he reached the entrance of the cavern, he pronounced the words, 'open, sesame!'" ~*the arabian nights*, junior classics trans.
aliban's tower|"the people of aysen built their roads with stones from these wonders. aliban would be pleased with their ingenuity." ~baki, wizard attendant
aliban's tower|"those who hide in hollow towers would do well to remember the rain." ~reyhan, samite alchemist
aligned hedron network|the last hedron slotted into place, locking ulamog in an infinite loop of binding energy.
alirios, enraptured|"why would i ever want to look away?"
all in good time|"take a moment. ponder the depths of your insignificance."
all is dust|"the emergence of the eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets." ~javad nasrin, ondu relic hunter
all shall smolder in my wake|"it's my goal to find the melting point of every substance."
all suns' dawn|"when the fifth sun rose, mirrodin saw its first true dawn." ~inscribed on the skin of thrun, the last troll
all that glitters|a faerie's glee at her trove quickly fades to contentment, then to boredom, then to an urge to steal more.
alley evasion|"sure, you know the law. but i know the streets."
alley grifters|one distracts the victim, the other extracts the valuables.
alley strangler|"you never know what day might be your last."
allied assault|a common foe is the death of old hatreds.
allied reinforcements|"our formation was scattered after sea gate fell. if you're fighting the eldrazi, consider us your newest recruits."
allied strategies|each commander looked at the others and wondered who would be first to break the alliance.
alloy golem|"we turned old weapons into new warriors." ~jhoira, master artificer
alloy myr|with or without witnesses, the suns continued their prismatic dance.
allure of the unknown|the light of hope blinded pantor to the ills of the world.
alluring scent|doom rarely smells this sweet.
alluring scent|no earthly armor is protection against this sweetness.
alluring siren|"the ground polluted floats with human gore, and human carnage taints the dreadful shore fly swift the dangerous coast: let every ear be stopp'd against the song! 'tis death to hear!" ~homer, *the odyssey*, trans. pope
alluring siren|she lures victims with promises of flesh, captures them in a net of deceit, and destroys them in the embrace of the sea.
alluring suitor|"may i have this dance?"
